attack_type;target_system;outcome;timestamp;attacker_ip;target_ip;data_compromised_GB;attack_duration_min;security_tools_used;user_role;location;attack_severity;industry;response_time_min;mitigation_method
Phishing;Cloud Service;Failure;13:15.1;21.166.79.4;23.20.50.78;15.31;300;Firewall;Employee;Australia;2;Energy;164;Containment
DDoS;Email Server;Success;51:56.1;187.180.150.169;34.160.58.218;65.05;242;Endpoint Detection;Admin;Brazil;10;Retail;64;Reset Credentials
Zero-Day Exploit;Cloud Service;Success;40:05.1;57.161.159.140;213.142.125.206;48.99;120;Firewall;External User;Germany;7;Finance;87;Quarantine
SQL Injection;Email Server;Failure;54:17.1;207.108.16.104;4.104.193.49;16.29;286;MFA;Employee;Russia;3;Healthcare;23;Patch
Zero-Day Exploit;IoT Device;Failure;38:20.1;98.122.15.31;57.66.53.194;87.66;4;Firewall;Contractor;UK;6;Finance;129;Containment
Malware;User Account;Failure;15:30.1;205.34.80.130;163.223.194.152;78.29;290;VPN;Contractor;France;5;Retail;160;Quarantine
Ransomware;Email Server;Success;29:57.1;151.146.1.206;79.117.160.0;40.04;171;Antivirus;External User;UK;4;Technology;74;Patch
Brute Force;IoT Device;Failure;02:28.1;227.165.40.4;175.72.25.30;80.26;85;WAF;Employee;Russia;6;Education;173;Quarantine
DDoS;IoT Device;Failure;41:31.1;140.32.102.2;202.210.155.189;44.34;229;WAF;Employee;UK;3;Education;144;Quarantine
Cross-Site Scripting;Network Switch;Success;10:28.1;158.152.180.3;184.3.184.154;9.15;102;Firewall;Contractor;USA;2;Manufacturing;137;Quarantine
DDoS;Network Switch;Failure;23:23.1;151.25.136.93;111.243.134.34;20.56;218;Firewall;Admin;Canada;6;Retail;136;Quarantine
Ransomware;Web Server;Success;05:58.1;236.134.90.51;73.194.202.6;2.43;103;SIEM;Employee;China;9;Education;38;Quarantine
Ransomware;Cloud Service;Success;41:34.1;20.17.173.18;128.142.128.118;67.52;296;Firewall;External User;Russia;5;Retail;178;Quarantine
Brute Force;IoT Device;Success;13:29.1;122.69.189.142;89.89.39.218;90.05;171;Endpoint Detection;Employee;Brazil;7;Healthcare;134;Patch
Phishing;Web Server;Success;15:28.1;133.70.62.191;206.166.113.66;45.25;190;IDS;Admin;China;3;Retail;57;Patch
Zero-Day Exploit;Database;Success;43:01.1;158.228.25.83;165.157.114.63;56.4;72;VPN;Employee;France;6;Government;178;Reset Credentials
SQL Injection;Cloud Service;Success;56:03.1;101.139.218.66;152.87.137.220;41.83;73;IDS;Contractor;China;8;Energy;109;Block IP
Malware;Web Server;Success;29:41.1;255.195.21.142;226.237.88.98;61.73;107;Endpoint Detection;Admin;Brazil;4;Retail;86;Containment
Zero-Day Exploit;User Account;Failure;40:32.1;88.105.113.159;203.222.214.62;2.1;223;VPN;Contractor;UK;2;Healthcare;58;Block IP
Ransomware;IoT Device;Failure;05:12.1;243.164.167.129;221.123.17.29;41.03;235;IDS;External User;Australia;4;Retail;112;Containment
Brute Force;API;Failure;21:07.1;51.209.190.71;119.104.17.145;36.66;162;WAF;Contractor;Russia;2;Manufacturing;159;Patch
DDoS;Database;Success;58:32.1;198.55.56.228;142.151.23.3;44.45;194;MFA;Employee;UK;5;Healthcare;75;Containment
Cross-Site Scripting;Email Server;Failure;05:43.1;200.246.155.231;214.49.49.50;0.01;152;MFA;External User;China;1;Finance;153;Containment
Zero-Day Exploit;Web Server;Success;12:48.1;224.56.41.100;243.66.85.72;90.84;6;Antivirus;Contractor;USA;9;Retail;124;Reset Credentials
Zero-Day Exploit;IoT Device;Success;38:55.1;153.210.245.140;204.32.162.50;75.64;218;IDS;External User;China;4;Education;166;Quarantine
Phishing;User Account;Failure;30:45.1;223.132.51.198;105.30.226.197;39.52;163;MFA;External User;India;10;Education;161;Patch
Ransomware;Email Server;Failure;10:27.1;146.44.125.193;53.91.81.175;76.05;130;MFA;Contractor;Russia;5;Retail;17;Reset Credentials
SQL Injection;Cloud Service;Success;36:50.1;61.12.23.117;247.116.119.248;10.74;97;Endpoint Detection;Admin;India;8;Education;180;Reset Credentials
Phishing;API;Success;28:23.1;42.70.62.169;19.4.161.48;25.75;38;Endpoint Detection;External User;UK;7;Healthcare;74;Patch
Zero-Day Exploit;IoT Device;Failure;24:00.1;241.0.53.87;39.154.211.190;67.57;93;Endpoint Detection;External User;Germany;7;Finance;35;Containment
Brute Force;Email Server;Failure;28:50.1;189.138.110.181;221.32.121.166;55.73;13;Firewall;Employee;USA;10;Government;180;Block IP
Zero-Day Exploit;Email Server;Success;40:50.1;238.234.29.153;101.122.237.28;31.12;243;VPN;Employee;USA;4;Manufacturing;153;Containment
Phishing;Email Server;Success;24:38.1;105.142.120.74;161.27.237.233;19.33;244;MFA;Admin;France;5;Technology;26;Containment
Zero-Day Exploit;API;Failure;30:07.1;204.76.204.186;186.208.66.58;65.34;57;WAF;Employee;Germany;3;Government;155;Block IP
Brute Force;Network Switch;Success;56:00.1;244.238.211.154;129.254.166.219;18.21;97;Firewall;Contractor;China;10;Technology;98;Patch
SQL Injection;User Account;Success;30:41.1;60.226.44.75;155.165.38.217;12.44;251;Endpoint Detection;Employee;China;9;Manufacturing;155;Quarantine
Ransomware;User Account;Failure;57:49.1;219.80.53.58;43.198.100.76;23.16;165;Endpoint Detection;Employee;Brazil;8;Education;44;Quarantine
Zero-Day Exploit;Network Switch;Failure;54:59.1;149.247.29.234;244.32.189.236;93.88;80;SIEM;Employee;UK;4;Technology;12;Patch
Brute Force;Database;Failure;31:45.1;107.29.142.22;95.166.7.11;6.05;2;WAF;Contractor;USA;7;Finance;156;Patch
Brute Force;Database;Failure;37:00.1;176.110.165.231;125.238.106.180;60.09;183;Antivirus;Employee;Russia;2;Education;4;Block IP
Brute Force;Email Server;Success;13:53.1;40.109.156.28;102.65.124.225;40.49;221;MFA;External User;Canada;4;Technology;177;Block IP
